,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,mahalanobis,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
187,1,graduate,25,male,2,scientific/science,scientific/science,program,937.6003129939759,1,graduate,25,male,2
188,1,graduate,25,male,2,scientific/science,scientific/science,program,1000.4816929094471,2,parent,40,female,2
189,1,graduate,25,male,2,scientific/science,scientific/science,program,995.5336303210719,3,post-doc,34,male,3
190,2,parent,40,female,2,scientific/science,scientific/science,center,494.3060347016335,0,enrollee,18,female,1
191,2,parent,40,female,2,scientific/science,scientific/science,center,566.8919894815531,1,graduate,25,male,2
192,2,parent,40,female,2,scientific/science,scientific/science,center,513.1266266761438,2,parent,40,female,2
193,2,parent,40,female,2,scientific/science,scientific/science,center,499.19728488874307,3,post-doc,34,male,3
194,2,parent,40,female,2,scientific/science,scientific/science,university,482.29765790717846,0,enrollee,18,female,1
195,2,parent,40,female,2,scientific/science,scientific/science,university,495.7323297231211,1,graduate,25,male,2
196,2,parent,40,female,2,scientific/science,scientific/science,university,647.19900950154,2,parent,40,female,2
197,2,parent,40,female,2,scientific/science,scientific/science,university,517.2069042168316,3,post-doc,34,male,3
198,2,parent,40,female,2,scientific/science,scientific/science,scientific/science,437.15996743890344,0,enrollee,18,female,1
199,2,parent,40,female,2,scientific/science,scientific/science,scientific/science,977.0624849810533,1,graduate,25,male,2
200,2,parent,40,female,2,scientific/science,scientific/science,scientific/science,522.9936255100504,3,post-doc,34,male,3
201,2,parent,40,female,2,scientific/science,scientific/science,educational/education,649.7437924076876,0,enrollee,18,female,1
202,2,parent,40,female,2,scientific/science,scientific/science,educational/education,600.727653358353,1,graduate,25,male,2
203,2,parent,40,female,2,scientific/science,scientific/science,educational/education,481.14301884433763,2,parent,40,female,2
204,2,parent,40,female,2,scientific/science,scientific/science,educational/education,680.5585643402593,3,post-doc,34,male,3
205,2,parent,40,female,2,scientific/science,scientific/science,program,721.4938169961351,0,enrollee,18,female,1
206,2,parent,40,female,2,scientific/science,scientific/science,program,623.1635995181838,1,graduate,25,male,2
207,2,parent,40,female,2,scientific/science,scientific/science,program,691.43339770376,2,parent,40,female,2
208,2,parent,40,female,2,scientific/science,scientific/science,program,619.9593826191134,3,post-doc,34,male,3
209,3,post-doc,34,male,3,scientific/science,scientific/science,center,573.6101792224661,0,enrollee,18,female,1
210,3,post-doc,34,male,3,scientific/science,scientific/science,center,570.7720687992266,1,graduate,25,male,2
